,0
792,0.35
793,0.0
794,0.8
795,0.75
796,-0.5
797,0.3
798,-0.24999999999999992
799,0.0
800,0.2
801,0.0
802,0.0
803,1.0
804,0.0
805,0.5
806,0.2
807,0.0
808,0.0
809,0.0
810,0.6
811,0.0
812,0.4
813,0.4121212121212121
814,-0.19375
815,0.0
816,0.275
817,0.6
818,0.0
819,0.0
820,0.4666666666666666
821,0.0
822,0.86328125
823,0.0
824,0.0
825,0.0
826,0.4875
827,0.8
828,0.0
829,0.0
830,0.2875
831,0.4
832,0.0
833,0.0
834,0.0
835,0.0
836,0.0
837,0.15
838,0.0
839,0.275
840,0.0
841,0.05
842,0.29545454545454547
843,0.0
844,0.0
845,0.3125
846,0.0
847,0.0
848,0.0
849,-0.06666666666666661
850,-0.5
851,0.0
852,0.0
853,0.3181818181818182
854,0.17045454545454544
855,0.0
856,0.2
857,0.0
858,0.35
859,0.0
860,0.24444444444444444
861,0.0625
862,-0.025
863,0.0
864,0.5
865,0.0
866,0.0
867,-0.16666666666666666
868,0.05
869,0.0
870,0.13636363636363635
871,0.0
872,0.13636363636363635
873,0.0
874,0.06666666666666667
875,0.8
876,0.2
877,0.0
878,0.0
879,0.0
880,0.0
881,0.1
882,-0.26666666666666666
883,0.5
884,0.7666666666666666
885,0.0
886,0.0
887,0.0
888,-0.05000000000000002
889,0.19999999999999998
890,0.25
891,0.1
892,0.1
893,0.0
894,0.0
895,0.0
896,0.2
897,0.1
898,-0.5
899,0.35
900,0.0
901,0.0
902,-0.3
903,0.09999999999999998
904,0.0
905,-0.1
906,0.0
907,0.0
908,0.0
909,0.25
910,0.0
911,0.9375
912,-0.6
913,0.5416666666666666
914,0.0
915,0.0
916,0.5
917,0.0
918,0.85
919,-0.17676767676767677
920,0.0
