borough,block,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,"TYPE(1:res,2:com,3:mix)",grid_x,grid_y
1,609,1191,2961,1910,820000,3,444,555
1,610,3600,8280,1920,12450000,3,437,547
1,610,1995,5985,1900,14000000,3,437,547
1,610,3600,8280,1920,12450000,3,437,547
1,610,1995,5985,1900,14000000,3,437,547
1,611,2090,4224,1880,6856750,3,439,550
1,611,2090,4224,1880,6856750,3,439,550
1,612,1584,3474,1900,14500000,3,436,551
1,612,2097,3800,1899,6850000,3,436,551
1,612,1584,3474,1900,14500000,3,436,551
1,612,2097,3800,1899,6850000,3,436,551
1,613,1227,3274,1899,13850000,3,436,552
1,613,1600,2562,1910,9000000,3,436,552
1,613,1227,3274,1899,13850000,3,436,552
1,613,1600,2562,1910,9000000,3,436,552
1,614,1660,3360,1899,11750000,3,435,553
1,614,1660,3360,1899,11750000,3,435,553
1,615,1364,3720,1899,8500000,3,434,554
1,615,1210,3098,1899,6225000,3,434,554
1,615,3587,13341,1910,15700000,3,434,554
1,615,1364,3720,1899,8500000,3,434,554
1,615,1210,3098,1899,6225000,3,434,554
1,615,3587,13341,1910,15700000,3,434,554
1,617,10292,43280,1930,5784758,3,437,557
1,617,10292,43280,1930,5784758,3,437,557
1,619,1812,3450,1901,8250000,3,433,547
1,619,2407,9530,1901,13000000,3,433,547
1,619,1812,3450,1901,8250000,3,433,547
1,619,2407,9530,1901,13000000,3,433,547
1,621,1905,4040,1910,9000000,3,433,549
1,621,1498,4106,1905,15500000,3,433,549
1,621,1905,4040,1910,9000000,3,433,549
1,621,1498,4106,1905,15500000,3,433,549
1,622,2391,4890,1905,27500000,3,433,551
1,622,950,2334,1901,8900000,3,433,551
1,622,2391,4890,1905,27500000,3,433,551
1,622,950,2334,1901,8900000,3,433,551
1,623,5126,14500,1900,34500000,3,433,554
1,623,5126,14500,1900,34500000,3,433,554
1,626,933,2160,1899,6668000,3,433,558
1,626,933,2160,1899,6668000,3,433,558
1,627,2206,8195,1910,19500000,3,430,559
1,627,2206,8195,1910,19500000,3,430,559
1,629,2581,9800,1910,13765000,3,433,562
1,629,2581,9800,1910,13765000,3,433,562
1,636,1935,7705,1950,14500000,3,423,546
1,636,1935,7705,1950,14500000,3,423,546
1,645,1459,2364,1910,4000000,3,426,562
1,645,1459,2364,1910,4000000,3,426,562
1,695,2469,19892,2014,4600000,3,432,580
1,695,2469,19892,2014,4600000,3,432,580
1,696,1463,3762,1901,16000000,3,432,582
1,696,3950,7900,2013,10750000,3,432,582
1,696,1463,3762,1901,16000000,3,432,582
1,696,3950,7900,2013,10750000,3,432,582
1,702,79943,1809073,2013,119885511,3,436,590
1,702,79943,1809073,2013,119885511,3,436,590
1,705,9875,11250,1900,124700000,3,440,592
1,705,28637,265562,1910,5300000,3,440,592
1,705,9875,11250,1900,124700000,3,440,592
1,705,28637,265562,1910,5300000,3,440,592
1,708,7406,9000,1919,44000000,3,440,600
1,708,7406,9000,1919,44000000,3,440,600
1,716,1875,5225,1910,10581818,3,430,571
1,716,1675,3909,1910,8818181,3,430,571
1,716,1875,5225,1910,10581818,3,430,571
1,716,1675,3909,1910,8818181,3,430,571
1,719,1813,3440,1900,7350000,3,432,576
1,719,2839,9480,1900,10500000,3,432,576
1,719,2462,5000,1920,4500000,3,432,576
1,719,1813,3440,1900,7350000,3,432,576
1,719,2839,9480,1900,10500000,3,432,576
1,719,2462,5000,1920,4500000,3,432,576
1,720,2469,5000,1900,2000000,3,434,577
1,720,2173,6135,1930,4500000,3,434,577
1,720,4789,18079,1900,17000000,3,434,577
1,720,2469,5000,1900,2000000,3,434,577
1,720,2173,6135,1930,4500000,3,434,577
1,720,4789,18079,1900,17000000,3,434,577
1,722,2057,3360,1910,13000000,3,434,580
1,722,2057,2890,1910,5950000,3,434,580
1,722,2467,5849,1910,800000,3,434,580
1,722,2467,5849,1910,800000,3,434,580
1,722,2057,3360,1910,13000000,3,434,580
1,722,2057,2890,1910,5950000,3,434,580
1,722,2467,5849,1910,800000,3,434,580
1,722,2467,5849,1910,800000,3,434,580
1,732,39779,350000,1962,330000000,3,445,593
1,732,39779,350000,1962,330000000,3,445,593
1,733,2469,20344,1999,18500000,3,445,595
1,733,2469,20344,1999,18500000,3,445,595
1,734,2465,12449,1900,1876000,3,444,597
1,734,2465,12449,1900,469000,3,444,597
1,734,2468,8214,1900,7950000,3,444,597
1,734,2465,12449,1900,1876000,3,444,597
1,734,2465,12449,1900,469000,3,444,597
1,734,2468,8214,1900,7950000,3,444,597
1,735,2770,7175,1910,1260000,3,446,598
1,735,2770,7175,1910,1260000,3,446,598
1,737,1300,4000,1900,5700000,3,448,600
1,737,1300,4000,1900,5700000,3,448,600
1,738,2038,6000,1910,7326000,3,435,562
1,738,1528,2850,1900,5100000,3,435,562
1,738,3031,8355,1900,13750000,3,435,562
1,738,2038,6000,1910,7326000,3,435,562
1,738,1528,2850,1900,5100000,3,435,562
1,738,3031,8355,1900,13750000,3,435,562
1,740,2300,8525,1910,2380000,3,436,565
1,740,2300,8525,1910,2380000,3,436,565
1,742,2147,4554,1910,6109000,3,437,568
1,742,1041,4400,1920,6750000,3,437,568
1,742,1552,5102,1910,9325000,3,437,568
1,742,1950,7800,1920,4060000,3,437,568
1,742,2147,4554,1910,6109000,3,437,568
1,742,1041,4400,1920,6750000,3,437,568
1,742,1552,5102,1910,9325000,3,437,568
1,742,1950,7800,1920,4060000,3,437,568
1,743,1397,4136,1900,3500000,3,436,571
1,743,1397,4560,1900,3050000,3,436,571
